Feature,Importance,SharePct,CumSharePct,Rank
Occupation,1728038.0,36.272914090919585,36.272914090919585,1
Year_Group,1029092.0,21.60147271509806,57.87438680601764,2
Partner_Code,735948.0,15.448143258067292,73.32253006408493,3
Gender,481521.0,10.107514919216875,83.4300449833018,4
log_RD_Expenditure_GDP_Percent,234293.0,4.91799940805921,88.34804439136101,5
log_Alternative_Quantity_Value,178329.0,3.7432698221448826,92.0913142135059,6
log_Trade_Value_usd,173112.0,3.6337607761561213,95.72507498966202,7
log_Net_Weight_Estimated,58484.0,1.2276264223896356,96.95270141205165,8
Country,34828.0,0.7310678653817493,97.6837692774334,9
log_Gross_Weight_Estimated,34431.0,0.7227345145560758,98.40650379198948,10
Commodity_Type,22993.0,0.48264165122093033,98.88914544321041,11
RD_Missing_Flag,15566.0,0.3267429192756492,99.21588836248606,12
Trade_Value_Is_Estimated,14218.0,0.29844730992298474,99.51433567240905,13
AlternativeQty_Missing_Flag,10166.0,0.21339255539999036,99.72772822780904,14
Alt_Quantity_Is_Estimated,8194.0,0.17199868177724975,99.89972690958629,15
Gross_Weight_Is_Estimated,4777.0,0.10027309041370784,100.0,16
