Feature,Importance,SharePct,CumSharePct,Rank
Occupation,1728038.0,36.272914090919585,36.272914090919585,1
Year_Group,1029092.0,21.60147271509806,57.87438680601764,2
Partner_Code,735948.0,15.448143258067292,73.32253006408493,3
Gender,481521.0,10.107514919216875,83.4300449833018,4
log_RD_Expenditure_GDP_Percent,234293.0,4.91799940805921,88.34804439136101,5
log_Alternative_Quantity_Value,178329.0,3.7432698221448826,92.0913142135059,6
log_Trade_Value_usd,173112.0,3.6337607761561213,95.72507498966202,7
log_Net_Weight_Estimated,58484.0,1.2276264223896356,96.95270141205165,8
Country,34828.0,0.7310678653817493,97.6837692774334,9
log_Gross_Weight_Estimated,34431.0,0.7227345145560758,98.40650379198948,10
