Feature,Importance,SharePct,CumSharePct,Rank
onehot_cat__Gender_Total,0.5610360148417002,56.10360148417001,56.10360148417001,1
country_enc__Occupation,0.22578535830343444,22.57853583034344,78.68213731451345,2
country_enc__Country,0.10827583543936323,10.82758354393632,89.50972085844978,3
num__log_RD_Expenditure_GDP_Percent,0.02821713846321604,2.821713846321604,92.33143470477138,4
num__log_Trade_Value_usd,0.02577241548960536,2.5772415489605356,94.90867625373191,5
num__log_Alternative_Quantity_Value,0.008668206190050431,0.8668206190050429,95.77549687273695,6
onehot_cat__Gender_Female,0.008548138758035347,0.8548138758035344,96.63031074854048,7
onehot_cat__Gender_Male,0.0047900021591241486,0.47900021591241476,97.1093109644529,8
num__log_Gross_Weight_Estimated,0.00478753774837044,0.4787537748370439,97.58806473928995,9
onehot_cat__Year_Group_2000s,0.0021255711041862128,0.21255711041862121,97.80062184970856,10
bin__Trade_Value_Is_Estimated,0.001740978818497557,0.1740978818497557,97.97471973155832,11
bin__AlternativeQty_Missing_Flag,0.0016296825022388752,0.1629682502238875,98.13768798178221,12
onehot_cat__Partner_Code_H1,0.0015434986691900635,0.15434986691900632,98.29203784870121,13
onehot_cat__Year_Group_Early 2010s,0.0014365340376004223,0.1436534037600422,98.43569125246125,14
onehot_cat__Partner_Code_H4,0.0013947315355669814,0.13947315355669812,98.57516440601795,15
onehot_cat__Year_Group_Late 2010s,0.0013291921552769195,0.13291921552769193,98.70808362154564,16
bin__RD_Missing_Flag,0.0013094757849318789,0.13094757849318786,98.83903120003883,17
onehot_cat__Year_Group_2020s,0.0013062447639720389,0.13062447639720387,98.96965567643603,18
onehot_cat__Partner_Code_H3,0.0012687104390499153,0.1268710439049915,99.09652672034103,19
onehot_cat__Partner_Code_H5,0.0012398864407399818,0.12398864407399815,99.22051536441504,20
onehot_cat__Partner_Code_H2,0.001223703763557042,0.12237037635570418,99.34288574077074,21
num__log_Net_Weight_Estimated,0.0010900974429838524,0.10900974429838521,99.45189548506913,22
bin__Alt_Quantity_Is_Estimated,0.0010846866562485501,0.10846866562485499,99.56036415069399,23
"onehot_cat__Commodity_Type_Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",0.0008153685937552434,0.08153685937552434,99.6419010100695,24
onehot_cat__Commodity_Type_Electronic integrated circuits,0.0007647323283507418,0.07647323283507416,99.71837424290457,25
onehot_cat__Partner_Code_H6,0.0007381125600630389,0.07381125600630388,99.79218549891088,26
"onehot_cat__Commodity_Type_Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",0.0006385605420293181,0.06385605420293179,99.85604155311381,27
bin__Gross_Weight_Is_Estimated,0.0005852144493400927,0.05852144493400926,99.91456299804783,28
onehot_cat__Commodity_Type_Electronic integrated circuits and microassemblies,0.0005717530930869669,0.05717530930869667,99.97173830735652,29
"onehot_cat__Commodity_Type_Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals",0.00022711256396042715,0.02271125639604271,99.99444956375255,30
onehot_cat__Partner_Code_H0,5.5504362474454595e-05,0.005550436247445459,100.0,31
